Actual,Predicted
-0.2270739339597642,-0.22677427241134504
-0.21678566862813572,-0.22027420979590165
-0.0735868843435173,-0.06810435047891066
-0.22886137808187745,-0.2287856612998723
-0.23033198428267965,-0.23017678026487925
-0.22550170050118298,-0.2219661084115958
-0.2165704579646037,-0.2173504063144909
-0.2304694799843807,-0.2298609355903225
-0.22789890816997033,-0.2279611328436627
-0.18058843063684557,-0.18188014559799434
-0.22687665751819316,-0.2274958527757822
-0.2031735941597348,-0.20153158712746055
-0.22829943912709938,-0.2287350282632094
-0.23076240560974373,-0.2314305812504603
-0.2300091682873816,-0.22755264784123572
-0.2292798432609675,-0.22857793808161522
-0.2292917994089415,-0.22951657086171173
-0.2284907374946834,-0.22899475676868342
-0.2300390586573166,-0.2247845206585937
-0.14766717719043188,-0.15574040265197941
-0.23094772590334076,-0.23006290958995487
-0.22602777101203905,-0.22357699513806992
-0.18516763531088823,-0.1823385721534725
-0.23082816442360074,-0.2314305812504603
-0.23012872976712162,-0.2302221643378233
-0.19576676048984074,-0.1962377210968496
-0.22822770223925537,-0.22819891231934952
-0.17612878744254293,-0.18129607436294304
-0.23070860294386072,-0.22965038833863113
-0.21414933799986835,-0.2101004369003287
-0.23092381360739275,-0.23123723067650162
-0.18975281805891786,-0.1707405525996316
-0.22198659299682647,-0.22243797242029198
-0.21994806976725917,-0.21489981414647769
-0.2207790220514523,-0.21975440290366272
-0.22742066225101024,-0.2270391876068298
-0.22784510550408732,-0.224784860423576
-0.22948907585051254,-0.22954276496263276
-0.19304673682575535,-0.1909130538044767
-0.20823104475273752,-0.20988360217390614
-0.22547778820523498,-0.22405917004730433
-0.2304395896144457,-0.23073583789712063
-0.2292798432609675,-0.22946142801680464
-0.20704738610331133,-0.2005465603921377
-0.2300031902133946,-0.2296654063998197
-0.218603003120184,-0.21988665652873102
-0.22903474222750048,-0.22860025406645032
-0.20361597163477285,-0.20280589054967857
-0.21327653919776624,-0.21489613565021692
-0.20765117157599844,-0.2103280459340662
-0.23035589657862768,-0.22496638569072916
-0.23014666398908262,-0.2295850154987702
-0.22754620180473725,-0.2251561161783181
-0.17254194305034243,-0.17121842154650935
-0.23105533123510677,-0.23202058860867872
-0.19475048791205057,-0.19581120617164152
-0.10654998430784,-0.10160025016491338
-0.21954753881013012,-0.21876387697035563
-0.22905267644946148,-0.2287399736144507
-0.23065480027797772,-0.23042931583953025
-0.22978200147587557,-0.22921715213124574
-0.22946516355456453,-0.22914793129214395
-0.225663108498832,-0.2242741872087386
-0.18204708068967376,-0.18409046796289924
-0.20386705074222689,-0.20520395432031263
-0.23018851050699163,-0.22929702517863781
0.27173655951558695,0.2728124537656401
-0.1633297310363741,-0.15843377899948544
-0.15997005345567963,-0.14219242500002557
-0.23091783553340575,-0.230466828586212
-0.21880625763574202,-0.21938277397202538
-0.14269939770723417,-0.14770222836095004
-0.21187169181082102,-0.21360140443283673
-0.23009286132319962,-0.22904321395753433
-0.2251729064318979,-0.2233265713214582
-0.2251729064318979,-0.22389885168349594
-0.22462890169908084,-0.22526775111133218
-0.12112452868814809,-0.11318847606983401
-0.22768369750643827,-0.22744741906667745
-0.22888529037782546,-0.2287856612998723
-0.21288198631462418,-0.21304922381705696
-0.2292619090390065,-0.2251070074753904
-0.22475444125280786,-0.22518141103395425
-0.22668535915060914,-0.22708744508859904
-0.2207670659034783,-0.2207427956730229
-0.17711516965039806,-0.1603864414358654
-0.22860432090043642,-0.2281291567513103
-0.23020046665496563,-0.2301145477197371
-0.19450538687858354,-0.19791085485168816
-0.22025295154059624,-0.21871813298062437
-0.22959668118227855,-0.22873229349098184
0.5476067397937152,0.5309707954276188
-0.21721011188121278,-0.22094171828288095
-0.2293037555569155,-0.22896349124973778
-0.03591904015142493,-0.044037268883021945
-0.2271815392915302,-0.2272946282681551
